Number,Track Name,Album,Main Artist,Related Artists,Spotify Link
196,Acadian Driftwood,Northern Lights-Southern Cross (Expanded Edition),The Band,[],https://open.spotify.com/track/6sJlkqZqUOLXjWKJrDgRmd
197,Down to Zero,Joan Armatrading,Joan Armatrading,[],https://open.spotify.com/track/7G4T7qkB0Wp32ItIvxBCw5
198,First Air of Autumn,English Oceans,Drive-By Truckers,[],https://open.spotify.com/track/5yfJCU4qGsSVQEDyprCo0q
199,Pill Bug Blues,Heavy Ornamentals,The Gourds,[],https://open.spotify.com/track/1FEabtVkpQ2FHcop7bsF8b
200,Fire on the Mountain,Searchin' for a Rainbow,The Marshall Tucker Band,[],https://open.spotify.com/track/4delgtiKX7L3nsbC0exhCS
201,Song for Adam/Shadow Dream Song,Laid Back (Deluxe Edition),Gregg Allman,[],https://open.spotify.com/track/1U7j1bv66dmFHxf1B7Intp
202,If It Takes a Lifetime,Something More Than Free,Jason Isbell,[],https://open.spotify.com/track/2hsf7VvrBm44soR5rtDVXw
203,Got Me A Woman,Dirt Farmer,Levon Helm,[],https://open.spotify.com/track/1BbbZ8R6NWxkyJ0VSEYlPG
204,Leaving Louisiana in the Broad Daylight,Quarter Moon in a Ten Cent Town (Expanded & Remastered),Emmylou Harris,[],https://open.spotify.com/track/4uRMqqD2Q2Nm5bu2VodPsO
205,Don't This Look Like The Dark,Trials & Errors,Magnolia Electric Co.,[],https://open.spotify.com/track/2cU1lUlDm3EEWMVAg4bC1R
206,Sweet Baby James,Sweet Baby James (2019 Remaster),James Taylor,[],https://open.spotify.com/track/17PXXzOygMyXXUNLngVN5u
207,A Song for You,GP,Gram Parsons,[],https://open.spotify.com/track/044sG5pgwwUSXBekDecuZH
208,Pretty Horses,Pretty Horses,Dwight Yoakam,[],https://open.spotify.com/track/0c7zdPYMttw5alPo9FprZY
209,In My Reply,Linda Ronstadt,Linda Ronstadt,[],https://open.spotify.com/track/5V6kkHsKwMOUmycpNZkDkm
210,Oh Sarah,A Sailor's Guide to Earth,Sturgill Simpson,[],https://open.spotify.com/track/2NriQ41JHZxm0oQHHI4XJM
